"Command","Description","URL"
"binfmt.d(5)","Configure additional binary formats for executables at boot","./man5/binfmt.d.5.html"
"blkdeactivate(8)","utility to deactivate block devices","./man8/blkdeactivate.8.html"
"blkdiscard(8)","discard sectors on a device","./man8/blkdiscard.8.html"
"blkid(8)","locate/print block device attributes","./man8/blkid.8.html"
"blkiomon(8)","monitor block device I/O based o blktrace data","./man8/blkiomon.8.html"
"blkmapd(8)","pNFS block layout mapping daemon","./man8/blkmapd.8.html"
"blkparse(1)","produce formatted output of event streams of block devices","./man1/blkparse.1.html"
"blkrawverify(1)","verifies an output file produced by blkparse","./man1/blkrawverify.1.html"
"blktrace(8)","generate traces of the i/o traffic on block devices","./man8/blktrace.8.html"
"blockdev(8)","call block device ioctls from the command line","./man8/blockdev.8.html"
"bno_plot(1)","generate interactive 3D plot of IO blocks and sizes","./man1/bno_plot.1.html"
"booleans(5)","The SELinux booleans configuration files","./man5/booleans.5.html"
"booleans(8)","Policy booleans enable runtime customization of SELinux policy","./man8/booleans.8.html"
"boot(7)","System bootup process based on UNIX System V Release 4","./man7/boot.7.html"
"bootchart.conf(5)","Boot performance analysis graphing tool configuration files","./man5/bootchart.conf.5.html"
"bootchart.conf.d(5)","Boot performance analysis graphing tool configuration files","./man5/bootchart.conf.d.5.html"
"bootctl(1)","Control the firmware and boot manager settings","./man1/bootctl.1.html"
"bootparam(7)","introduction to boot time parameters of the Linux kernel","./man7/bootparam.7.html"
"bootup(7)","System bootup process","./man7/bootup.7.html"
"bpfc(8)","a Berkeley Packet Filter assembler and compiler","./man8/bpfc.8.html"
"break(2)","unimplemented system calls","./man2/break.2.html"
"bridge(8)","show / manipulate bridge addresses and devices","./man8/bridge.8.html"
"brk(2)","change data segment size","./man2/brk.2.html"
"bsd_signal(3)","signal handling with BSD semantics","./man3/bsd_signal.3.html"
"bsearch(3)","binary search of a sorted array","./man3/bsearch.3.html"
"bstring(3)","byte string operations","./man3/bstring.3.html"
"btowc(3)","convert single byte to wide character","./man3/btowc.3.html"
"btrace(8)","perform live tracing for block devices","./man8/btrace.8.html"
"btrecord(8)","recreate IO loads recorded by blktrace","./man8/btrecord.8.html"
